1;Искусственный интеллект на службе бизнеса;А.А.Агравл, Дж.Ганс, А.Голдфарб;Библиотека Сбербанка / AI;1;-
2;Искусственный интеллект: перезагрузка;Г.Маркус, Э.Дэвис;Библиотека Сбербанка / AI;1;-
3;Сверхдержавы искусственного интеллекта;Кай-Фу Ли;Библиотека Сбербанка / AI;1;-
4;Машина. Платформа. Толпа;Э.Макафи, Бриньолфсон;Библиотека Сбербанка / AI;1;-
5;Внедрение искусственного интеллекта в бизнес-практику;Томас Дейвенпорт;Библиотека Сбербанка / AI;1;-
